"親代1圖鑑編號","親代1繁中","親代1英文","親代1內部名稱","親代1性別","親代2圖鑑編號","親代2繁中","親代2英文","親代2內部名稱","親代2性別","子代圖鑑編號","子代繁中","子代英文","子代內部名稱","性別限定"
"127","八雲犬","Yakumo","GuardianDog","任一","127","八雲犬","Yakumo","GuardianDog","任一","127","八雲犬","Yakumo","GuardianDog","否"
"127","八雲犬","Yakumo","GuardianDog","任一","21","君王美露帕","Kingpaca","KingAlpaca","任一","127","八雲犬","Yakumo","GuardianDog","否"
"127","八雲犬","Yakumo","GuardianDog","任一","88","粉粉布偶鯊","Finsider Ignis","StuffedShark_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"68","女皇蜂","Elizabee","QueenBee","任一","33","獵狼","Direhowl","Garm","任一","127","八雲犬","Yakumo","GuardianDog","否"
"49","天擒鳥","Galeclaw","Eagle","任一","74","石掌猿","Gorirat Terra","Gorilla_Ground","任一","127","八雲犬","Yakumo","GuardianDog","否"
"49","天擒鳥","Galeclaw","Eagle","任一","84","雷冠龍","Dinossom Lux","FlowerDinosaur_Electric","任一","127","八雲犬","Yakumo","GuardianDog","否"
"61","幻悅蝶","Cinnamoth","CuteButterfly","任一","75","流沙蛇","Surfent Terra","Serpent_Ground","任一","127","八雲犬","Yakumo","GuardianDog","否"
"61","幻悅蝶","Cinnamoth","CuteButterfly","任一","18","閃丸王","Penking Lux","CaptainPenguin_Black","任一","127","八雲犬","Yakumo","GuardianDog","否"
"61","幻悅蝶","Cinnamoth","CuteButterfly","任一","41","碧海龍","Azurobe","BlueDragon","任一","127","八雲犬","Yakumo","GuardianDog","否"
"56","月鐮魔","Loupmoon","Werewolf","任一","52","貓蝠怪","Tombat","CatBat","任一","127","八雲犬","Yakumo","GuardianDog","否"
"36","毛老爹","Sweepa","MopKing","任一","5","熱浪鴨","Fuack Ignis","BluePlatypus_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"35","毛撣兒","Swee","MopBaby","任一","149","冬丸","Smokie Cryst","BlackPuppy_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"35","毛撣兒","Swee","MopBaby","任一","109","梆梆鯰","Dumud Gild","LazyCatfish_Gold","任一","127","八雲犬","Yakumo","GuardianDog","否"
"35","毛撣兒","Swee","MopBaby","任一","48","夢沫姬","Gloopie Primo","OctopusGirl_Neutral","任一","127","八雲犬","Yakumo","GuardianDog","否"
"43","水靈兒","Kelpsea","Kelpie","任一","63","水靈龍","Elphidran Aqua","FairyDragon_Water","任一","127","八雲犬","Yakumo","GuardianDog","否"
"93","火麒麟","Pyrin","FireKirin","任一","43","火靈兒","Kelpsea Ignis","Kelpie_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"93","火麒麟","Pyrin","FireKirin","任一","17","閃丸丸","Pengullet Lux","Penguin_Electric","任一","127","八雲犬","Yakumo","GuardianDog","否"
"93","火麒麟","Pyrin","FireKirin","任一","59","雪綿啾","Muffly","FluffyBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"39","可可棉花糖","Woolipop Terra","SweetsSheep_Ground","任一","55","紅小鯊","Gobfin Ignis","SharkKid_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"88","布偶鯊","Finsider","StuffedShark","任一","82","秘斯媞雅","Lunaris","Mutant","任一","127","八雲犬","Yakumo","GuardianDog","否"
"88","布偶鯊","Finsider","StuffedShark","任一","81","密林陶洛斯","Elgrove","GrassMinotaur","任一","127","八雲犬","Yakumo","GuardianDog","否"
"17","企丸丸","Pengullet","Penguin","任一","163","金渦蝸","Snock Lux","ElecSnail_Ground","任一","127","八雲犬","Yakumo","GuardianDog","否"
"17","企丸丸","Pengullet","Penguin","任一","78","幽巫狐","Wixen Noct","FoxMage_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"18","企丸王","Penking","CaptainPenguin","任一","7","雷米兒","Celaray Lux","FlyingManta_Thunder","任一","127","八雲犬","Yakumo","GuardianDog","否"
"42","伏特喵","Sparkit","ElecCat","任一","118","菇波","Shroomer Noct","MushroomDragon_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"42","伏特喵","Sparkit","ElecCat","任一","102","雷胖達","Mossanda Lux","GrassPanda_Electric","任一","127","八雲犬","Yakumo","GuardianDog","否"
"15","冰刺鼠","Jolthog Cryst","Hedgehog_Ice","任一","149","冬丸","Smokie Cryst","BlackPuppy_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"15","冰刺鼠","Jolthog Cryst","Hedgehog_Ice","任一","109","梆梆鯰","Dumud Gild","LazyCatfish_Gold","任一","127","八雲犬","Yakumo","GuardianDog","否"
"15","冰刺鼠","Jolthog Cryst","Hedgehog_Ice","任一","98","凜光犬","Rayhound Cryst","ThunderDog_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"38","冰縛靈","Hangyu Cryst","WindChimes_Ice","任一","103","桃旋鼬","Chillet Ignis","WeaselDragon_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
