"圖鑑編號","亞種","繁中名稱","英文名稱","內部名稱","配種值","配種優先值"
"1","否","棉悠悠","Lamball","SheepBall","3050","305000"
"2","否","搗蛋貓","Cattiva","PinkCat","2760","276000"
"3","否","皮皮雞","Chikipi","ChickenPal","3080","308000"
"4","否","翠葉鼠","Lifmunk","Carbunclo","3020","302000"
"5","否","衝浪鴨","Fuack","BluePlatypus","2980","298000"
"5","是","熱浪鴨","Fuack Ignis","BluePlatypus_Fire","2300","575"
"6","否","玉藻狐","Vixy","CuteFox","3060","306000"
"7","否","魯米兒","Celaray","FlyingManta","2740","274000"
"7","是","雷米兒","Celaray Lux","FlyingManta_Thunder","2380","574"
"8","否","米露菲","Cremis","WoolFox","2890","289000"
"9","否","武道蛙","Croajiro","KendoFrog","2600","260000"
"9","是","極道蛙","Croajiro Noct","KendoFrog_Dark","1860","186000"
"10","否","達鼠泥","Herbil","LeafMomonga","2630","263000"
"11","否","壺小象","Teafant","Ganesha","3070","307000"
"12","否","葉泥泥","Gumoss","PlantSlime","2950","295000"
"12","是","葉泥泥","Gumoss","PlantSlime_Flower","2950","295000"
"13","否","宗銘丸","Pupperai","SamuraiDog","2930","293000"
"14","否","幸葉茸","Clovee","CloverFairy","2970","297000"
"15","否","電棘鼠","Jolthog","Hedgehog","3030","303000"
"15","是","冰刺鼠","Jolthog Cryst","Hedgehog_Ice","2850","285000"
"16","否","瞅什魔","Depresso","NegativeKoala","3000","300000"
"17","否","企丸丸","Pengullet","Penguin","2960","296000"
"17","是","閃丸丸","Pengullet Lux","Penguin_Electric","2490","572"
"18","否","企丸王","Penking","CaptainPenguin","2070","207000"
"18","是","閃丸王","Penking Lux","CaptainPenguin_Black","1850","573"
"19","否","啼卡爾","Hoocrates","WizardOwl","2940","294000"
"20","否","美露帕","Melpaca","Alpaca","2720","272000"
"21","否","君王美露帕","Kingpaca","KingAlpaca","2220","222000"
"21","是","冰帝美露帕","Kingpaca Cryst","KingAlpaca_Ice","1530","153000"
"22","否","寐魔","Daedream","DreamDemon","2910","291000"
"23","否","新葉猿","Tanzee","Monkey","2900","290000"
"23","是","秋葉猿","Tanzee Ignis","Monkey_Fire","2830","283000"
"24","否","露娜蒂","Nox","NightFox","2920","292000"
"25","否","融焰娘","Flambelle","LavaGirl","2700","270000"
"26","否","燎火鹿","Rooby","FlameBambi","2870","287000"
"27","否","喵絲特","Mau","Bastet","3040","304000"
"27","是","冰絲特","Mau Cryst","Bastet_Ice","2750","275000"
"28","否","草莽豬","Rushoar","Boar","2880","288000"
"29","否","火絨狐","Foxparks","Kitsunebi","2990","299000"
"29","是","雪絨狐","Foxparks Cryst","Kitsunebi_Ice","2500","250000"
"30","否","勾魂魷","Killamari","NegativeOctopus","2770","277000"
"30","是","蝕魂魷","Killamari Primo","NegativeOctopus_Neutral","2540","571"
"31","否","遁地鼠","Fuddler","CuteMole","2790","279000"
